distpoll,winner
1-1,Green
1-2,Green
1-3,Green
1-4,Green
1-5,Green
1-7,Green
1-8,Green
2-A,Green
2-1,Green
2-2,Green
2-3,Green
2-4,Green
2-5,Green
2-6,Green
2-7,Green
2-9,Green
3-1,Green
3-2,Green
3-3,Green
3-4,Green
3-5,Green
3-6,Green
3-8,Green
4-1,Green
4-2,Green
4-3,Green
4-4,Green
4-5,Green
4-6,Green
4-7,Green
4-8,Green
5-1,Green
5-2,Green
5-3,Green
5-4,Green
5-5,Green
5-6,Green
5-7,Green
6-1,Green
6-2,Green
6-3,Green
6-5,Green
6-6,Green
6-8,Green
7-1,Green
7-3,Green
7-4,Green
7-5,Green
7-6,Green
7-7,Green
7-8,Green
7-9,Green
7-10,Green
8-2,Green
8-3,Green
8-4,Green
10-A,Green
10-1,Green
10-2,Green
10-3,Green
10-4,Green
10-5,Green
10-7,Green
10-8,Green
10-9,Green
11-A,Green
11-1,Green
11-2,Green
11-3,Green
11-4,Green
11-5,Green
11-6,Green
11-7,Green
11-8,Green
11-9,Green
12-A,Green
12-1,Green
12-2,Green
12-3,Green
12-4,Green
12-5,Green
12-6,Green
12-7,Green
12-8,Green
12-9,Green
13-A,Green
13-1,Green
13-2,Green
13-3,Green
13-4,Green
13-5,Green
13-6,Green
13-7,Green
13-8,Green
13-9,Green
14-1,Green
14-2,Green
14-4,Green
14-5,Green
14-6,Green
14-7,Green
14-8,Green
14-9,Green
15-2,Green
15-3,Green
15-4,Green
15-5,Green
15-6,Green
15-7,Green
15-8,Green
15-9,Green
16-A,Green
16-1,Green
16-2,Green
16-3,Green
16-4,Green
16-5,Green
16-6,Green
16-7,Green
16-8,Green
16-9,Green
17-A,Green
17-1,Green
17-2,Green
17-3,Green
17-4,Green
17-5,Green
17-6,Green
17-7,Green
17-8,Green
17-9,Green
18-A,Green
18-1,Green
18-2,Green
18-3,Green
18-4,Green
18-5,Green
18-6,Green
18-7,Green
18-8,Green
18-9,Green
19-A,Green
19-1,Green
19-2,Green
19-3,Green
19-4,Green
19-5,Green
19-6,Green
19-7,Green
19-8,Green
19-9,Green
20-A,Green
20-1,Green
20-2,Green
20-3,Green
20-4,Green
20-5,Green
20-6,Green
20-7,Green
20-8,Green
20-9,Green
21-A,Green
21-1,Green
21-2,Green
21-3,Green
21-4,Green
21-5,Green
21-6,Green
21-7,Green
21-8,Green
21-9,Green
22-A,Green
22-1,Green
22-2,Green
22-3,Green
22-4,Green
22-5,Green
22-6,Green
22-7,Green
22-8,Green
22-9,Green
23-A,Green
23-1,Green
23-2,Green
23-3,Green
23-4,Green
23-5,Green
23-6,Green
23-7,Green
24-A,Green
24-1,Green
24-2,Green
24-3,Green
24-4,Green
24-5,Green
24-6,Green
27-2,Green
27-5,Green
